residential building	Wohngebäude
Stainless steel SAE 200 series hot rolled strip	Warmgewalztes Band aus nichtrostendem Stahl der Serie SAE 200
Stainless steel SAE 400 series hot rolled strip	Warmgewalztes Band aus nichtrostendem Stahl der Serie SAE 400
Stainless steel SAE 300 series hot rolled strip	Warmgewalztes Band aus nichtrostendem Stahl der Serie SAE 300
Stainless steel SAE 200 series cold rolled strip	Kaltgewalztes Band aus Edelstahl der Serie SAE 200
Aluminum SAE 6000 series hot rolled bar	Warmgewalzter Aluminiumstab der Serie SAE 6000
Aluminum SAE 6000 series cold drawn bar	Kaltgezogener Aluminiumstab der Serie SAE 6000
Aluminum SAE 5000 series hot rolled bar	Warmgewalzter Aluminiumstab der Serie SAE 5000
Aluminum SAE 5000 series cold drawn bar	Kaltgezogener Aluminiumstab der Serie SAE 5000
Aluminum SAE 4000 series cold drawn bar	Kaltgezogener Aluminiumstab der Serie SAE 4000
Aluminum SAE 4000 series hot rolled bar	Warmgewalzter Aluminiumstab der Serie SAE 4000
Aluminum SAE 3000 series cold drawn bar	Kaltgezogener Aluminiumstab der Serie SAE 3000
Aluminum SAE 2000 series hot rolled bar	Warmgewalzter Aluminiumstab der Serie SAE 2000
Aluminum SAE 2000 series cold drawn bar	Kaltgezogener Aluminiumstab der Serie SAE 2000
Aluminum SAE 1000 series hot rolled bar	Warmgewalzter Aluminiumstab der Serie SAE 1000
Aluminum SAE 1000 series cold drawn bar	Kaltgezogener Aluminiumstab der Serie SAE 1000
Aluminum SAE 3000 series hot rolled bar	Aluminium SAE 3000 Serie warmgewalzt bar
Aluminum SAE 5000 series cold rolled sheet	Aluminium SAE 5000 Serie kaltgewalztes Blech
Corrugated aluminum sheet	Gewelltes Aluminiumblech
Aluminum SAE 6000 series cold rolled sheet	Aluminium SAE 6000 Serie kaltgewalztes Blech
Aluminum SAE 5000 series hot rolled sheet	Aluminium SAE 5000 Serie warmgewalztes Blech
Aluminum SAE 4000 series hot rolled sheet	Aluminium SAE 4000 Serie warmgewalztes Blech
Aluminum SAE 1000 series cold rolled sheet	Aluminium SAE 1000 Serie kaltgewalztes Blech
Aluminum SAE 3000 series hot rolled sheet	Aluminium SAE 3000 Serie warmgewalztes Blech
Aluminum SAE 3000 series cold rolled sheet	Aluminium SAE 3000 Serie kaltgewalztes Blech
Aluminum SAE 2000 series hot rolled sheet	Aluminium SAE 2000 Serie warmgewalztes Blech
Aluminum SAE 2000 series cold rolled sheet	Aluminium SAE 2000 Serie kaltgewalztes Blech
Aluminum SAE 1000 series hot rolled sheet	Aluminium SAE 1000 Serie warmgewalztes Blech
Aluminum SAE 4000 series cold rolled sheet	Aluminium SAE 4000 Serie kaltgewalztes Blech
Aluminum SAE 5000 series hot rolled coil	Aluminium SAE 5000 Serie warmgewalztes Coil
Aluminum SAE 6000 series hot rolled coil	Aluminium SAE 6000 Serie warmgewalztes Coil
Aluminum SAE 3000 series hot rolled coil	Aluminium SAE 3000 Serie warmgewalztes Coil
Aluminum SAE 2000 series hot rolled coil	Aluminium SAE 2000 Serie warmgewalztes Coil
Aluminum SAE 4000 series hot rolled coil	Aluminium SAE 4000 Serie warmgewalztes Coil
Aluminum SAE 1000 series hot rolled coil	Aluminium SAE 1000 Serie warmgewalztes Coil
Aluminum strip	Aluminiumband
Aluminum ingot	Aluminium-Barren
Ductile iron cast bar	Stabstahl aus duktilem Eisen
Gray iron cast bar	Grauguss-Stab
White iron cast bar	Stange aus weißem Eisen
Malleable iron cast bar	Gusseisen aus verformbarem Eisen
Ductile iron hot rolled sheet	Sphäroguss warmgewalztes Blech
Gray iron hot rolled sheet	Grauguss warmgewalztes Blech
White iron hot rolled sheet	Weißes Eisen warmgewalztes Blech
Malleable iron hot rolled sheet	Warmgewalzte Bleche aus verformbarem Eisen
Malleable iron billet	Knüppel aus verformbarem Eisen
White iron billet	Knüppel aus weißem Eisen
Gray iron billet	Graugussknüppel
Ductile iron strip	Band aus duktilem Eisen
Ductile iron coil	Sphäroguss-Spule
Ductile iron billet	Knüppel aus duktilem Eisen
Ferrous alloy bar	Stange aus Eisenlegierung
Ferrous alloy sheet	Blech aus einer Eisenlegierung
Ferrous alloy billet	Knüppel aus Eisenlegierung
Ferrous alloy extrusion ingot	Strangpressbarren aus Eisenlegierung
Ferrous alloy coil	Spule aus Eisenlegierung
Ferrous alloy strip	Band aus Eisenlegierung
Plastic bar	Kunststoffleiste
Plastic sheet	Plastikfolie
Corrugated plastic sheet	Gewellte Kunststoffplatten
Plastic coil	Kunststoffspule
Plastic strip	Plastikstreifen
Precious metal bar	Barren aus Edelmetall
Non ferrous alloy bar	Stange aus Nichteisenlegierung
Non ferrous alloy sheet	Bleche aus Nichteisenlegierungen
Beryllium alloy sheet	Bleche aus Berylliumlegierung
Composite metal sheet	Zusammengesetztes Metallblech
Non ferrous alloy coil	Spule aus Nichteisenlegierung
Precious metal coil	Edelmetallspule
Non ferrous alloy strip	Band aus Nichteisenlegierung
Non ferrous alloy billet	Knüppel aus Nichteisenlegierung
Precious metal billet	Knüppel aus Edelmetall
Precious metal ingot	Edelmetallbarren
Non ferrous alloy extrusion ingot	Strangpressbarren aus Nichteisenlegierungen
Cadmium ingot	Kadmium-Barren
Zirconium ingot	Zirkonium-Barren
Cobalt ingot	Kobalt-Barren
Molybdenum ingot	Molybdän-Barren
Arsenic ingot	Arsenbarren
Bismuth ingot	Wismut-Barren
Indium ingot	Indium-Barren
Graphite coil	Graphit-Spule
Antimony ingot	Antimonbarren
Wooden bar	Hölzerne Stange
Rubber sheet	Gummiplatte
Foam rubber sheet	Moosgummi-Platte
Cork and rubber sheet	Kork und Gummiplatten
Compressed fiber sheet	Komprimierte Faserplatte
Metal inserted compressed fiber sheet	Mit Metall eingelegte Pressfaserplatte
Fiber and rubber sheet	Faser- und Gummiplatten
Asbestos sheet	Asbestplatte
Reinforcing bar or rebar or mesh	Bewehrungsstab oder Betonstahl oder Masche
Rubber bar	Gummistange
Rubber strip	Gummistreifen
Compressed fiber coil	Komprimierte Faserspule
Fiber and rubber coil	Faser- und Gummispule
Nickel sheet	Nickel-Blech
Nickel ingot	Nickel-Barren
Steel shafting	Stahlwellen
Stainless steel shafting	Wellen aus rostfreiem Stahl
Sound proof block	Schalldichter Block
Glass block	Glasblock
Light concrete block	Leichter Betonblock
Natural rock slab	Natürliche Felsplatte
Haydite block	Haydite-Block
Ceramic blocks	Keramische Blöcke
Stone blocks	Steinblöcke
Concrete blocks	Betonsteine
Autoclaved lightweight aerated concrete block	Autoklavierter Leichtporenbetonblock
Rubber block	Gummiblock
Reinforced concrete built up culvert block	Aufgebauter Durchlassblock aus Stahlbeton
Concrete block for revetment	Betonblock für Deckwerk
Concrete armor unit	Betonpanzereinheit
Ceramic bricks	Keramische Ziegel
Concrete bricks	Betonziegel
Stone bricks	Ziegelsteine
Sandlime brick	Kalksandstein
Loess brick	Löß-Ziegel
Clay brick	Lehmziegel
Fabricated brick	Vorgefertigter Ziegel
Insulating fire brick	Isolierender Schamottestein
Salt glazed brick	Salzglasierter Ziegel
Head stones	Kopfsteine
Stone tiles	Steinfliesen
Stone flagstones	Steinfliesen
Concrete tiles	Betonplatten
Concrete flagstones	Betonsteinplatten
Ceramic tiles	Keramische Fliesen
Ceramic flagstones	Keramische Plattenbeläge
Tube frame connector	Rohrrahmenverbinder
Side pole	Seitenpfosten
Structural alignment tool	Werkzeug zur strukturellen Ausrichtung
Structural brace	Strukturelle Strebe
Steel A-frame	A-Rahmen aus Stahl
Transom	Heckspiegel
Stake or peg	Pflock oder Hering
Mast section and king pole	Mastabschnitt und Königsmast
Gin pole and accessories	Ginstange und Zubehör
Gable	Giebel
Funicular bell	Glocke der Standseilbahn
Cupola	Kuppel
Bail ring	Kautionsring
Anchor plate	Verankerungsplatte
Base plate	Grundplatte
Grandstand footboard and accessories	Tribünen-Trittbrett und Zubehör
Stair riser	Treppensetzer
Stringer	Stringer
Stair step	Trittstufe
Framing beam or rail or tubing	Rahmenträger oder Schiene oder Rohr
Portable structure canvas section	Tragbare Struktur Segeltuchabschnitt
Steel angles	Stahlwinkel
Iron angles	Eisenwinkel
Magnesium angles	Magnesium-Winkel
Ferrous alloy angles	Winkel aus Eisenlegierungen
Titanium angles	Titan-Winkel
Copper angles	Kupferwinkel
Zinc angles	Zink-Winkel
Bronze angles	Bronze-Winkel
Tin angles	Zinnwinkel
Lead angles	Spitzenwinkel
Plastic angles	Kunststoffwinkel
Precious metal angles	Edelmetall-Winkel
Brass angles	Winkel aus Messing
Rubber angles	Gummiwinkel
Non ferrous alloy angles	Winkel aus Nichteisenlegierungen
Aluminum angles	Aluminium-Winkel
Stainless steel angles	Winkel aus rostfreiem Stahl
Plywood beam	Sperrholzbalken
Haydite beam	Haydite-Balken
Precious metal beams	Edelmetallträger
Concrete beams	Balken aus Beton
Rubber beams	Gummibalken
Steel beams	Stahlträger
Lead beams	Leitstrahlen
Tin beams	Zinnbalken
Zinc beams	Zinkbalken
Iron beams	Eisenbalken
Brass beams	Messing-Balken
Bronze beams	Bronze-Balken
Non ferrous alloy beams	Balken aus Nichteisenlegierungen
Ferrous alloy beams	Balken aus Eisenlegierungen
Stainless steel beams	Balken aus rostfreiem Stahl
Plastic beams	Kunststoffbalken
Magnesium beams	Magnesiumbalken
Titanium beams	Titan-Balken
Copper beams	Balken aus Kupfer
Aluminum beams	Aluminium-Träger
Non ferrous alloy channels	Kanäle aus Nichteisenlegierungen
Iron channels	Eiserne Kanäle
Steel channels	Stahlkanäle
Stainless steel channels	Kanäle aus rostfreiem Stahl
Aluminum channels	Aluminium-Kanäle
Magnesium channels	Magnesium-Kanäle
Titanium channels	Kanäle aus Titan
Ferrous alloy channels	Kanäle aus Eisenlegierungen
Brass channels	Kanäle aus Messing
Zinc channels	Zink-Kanäle
Tin channels	Zinnkanäle
Lead channels	Führende Kanäle
Plastic channels	Kunststoff-Kanäle
Rubber channels	Gummirinnen
Precious metal channels	Kanäle aus Edelmetall
Fiberglass channel	Fiberglas-Kanal
Copper channels	Kanäle aus Kupfer
Bronze channels	Bronze-Kanäle
Plastic foil	Plastikfolie
Lead foil	Bleifolie
Zinc foil	Zinkfolie
Bronze foil	Bronzefolie
Brass foil	Messingfolie
Copper foil	Kupferfolie
Tin foil	Zinnfolie
Magnesium foil	Magnesiumfolie
Titanium foil	Titanfolie
Non ferrous alloy foil	Folie aus Nichteisenlegierung
Iron foil	Eisenfolie
Ferrous alloy foil	Folie aus Eisenlegierung
Stainless steel foil	Folie aus rostfreiem Stahl
Aluminum foil	Alufolie
Steel foil	Stahlfolie
Rubber plate	Gummiplatte
Plastic plate	Kunststoffplatte
Lead plate	Bleiplatte
Tin plate	Weißblech
Zinc plate	Zinkblech
Bronze plate	Bronzeplatte
Brass plate	Messingplatte
Copper plate	Kupferplatte
Magnesium plate	Magnesiumplatte
Stainless steel plate	Platte aus rostfreiem Stahl
Steel plate	Stahlplatte
Iron plate	Eisenplatte
Non ferrous plate	Nicht eisenhaltige Platte
Ferrous alloy plate	Platte aus Eisenlegierung
Titanium plate	Platte aus Titan
Aluminum plate	Aluminiumplatte
Woodwool plate	Holzwolleplatte
Nickel plate	Nickelplatte
Wood veneer plate	Holzfurnierplatte
Coreboard plate	Kernpappenplatte
Cork plate	Korkplatte
Butyl plate	Butylplatte
Fiber plate	Faserplatte
Concrete plate	Platte aus Beton
Precious metal plate	Platte aus Edelmetall
Ferrous alloy profiles	Profile aus Eisenlegierungen
Non ferrous alloy profiles	Profile aus Nichteisenlegierungen
Iron profiles	Profile aus Eisen
Steel profiles	Stahlprofile
Stainless steel profiles	Profile aus rostfreiem Stahl
Aluminum profiles	Aluminium-Profile
Magnesium profiles	Magnesium-Profile
Titanium profiles	Titan-Profile
Copper profiles	Profile aus Kupfer
Brass profiles	Profile aus Messing
Zinc profiles	Zink-Profile
Tin profiles	Zinn-Profile
Bronze profiles	Profile aus Bronze
Plastic profiles	Kunststoff-Profile
Rubber profiles	Gummi-Profile
Lead profiles	Leitprofile
Tin rods	Zinnstangen
Nickel rod	Nickel-Stab
Rubber rods	Gummistangen
Plastic rods	Plastikstangen
Lead rods	Bleiruten
Copper rods	Kupferstangen
Titanium rods	Titan-Stäbe
Aluminum rods	Aluminium-Stangen
Stainless steel rods	Stangen aus rostfreiem Stahl
Steel rods	Stahlstangen
Iron rods	Eisenstangen
Non ferrous alloy rods	Stangen aus Nichteisenlegierungen
Ferrous alloy rods	Stangen aus Eisenlegierungen
Bronze rods	Bronze-Stäbe
Magnesium rods	Magnesium-Stäbe
Brass rods	Messingstangen
Zinc rods	Stangen aus Zink
Aluminum pilings	Aluminium Pfähle
Concrete pilings	Betonpfähle
Steel pilings	Stahlpfähle
Cement posts	Zementpfosten
concrete posts	Betonpfosten
Metal posts	Metallpfosten
Wooden posts	Hölzerne Pfosten
Plastic posts	Kunststoffpfosten
Fiberglass posts	Pfosten aus Fiberglas
Treated wooden post	Pfosten aus behandeltem Holz
Wooden rail	Hölzerne Schiene
Steel rail	Stahlschiene
Metal rail	Metallschiene
Aluminum rail	Aluminium-Schiene
Stainless steel grating	Gitterrost aus rostfreiem Stahl
Aluminum grating	Aluminium-Gitterrost
Fiberglass grating	Fiberglas-Gitterrost
Iron grating	Eisengitter
Plastic grating	Kunststoff-Gitterrost
Laminated grating	Laminierte Gitterroste
Steel grating	Stahlgitterrost
Copper honeycomb core	Wabenkern aus Kupfer
Titanium honeycomb core	Titan-Wabenkern
Zinc honeycomb core	Wabenkern aus Zink
Lead honeycomb core	Wabenkern aus Blei
Steel honeycomb core	Stahlwabenkern
Magnesium honeycomb core	Magnesium-Wabenkern
Plastic honeycomb core	Kunststoffwabenkern
Foam honeycomb core	Schaumstoff-Wabenkern
Aluminum honeycomb core	Aluminium-Wabenkern
Brass honeycomb core	Wabenkern aus Messing
Wooden honeycomb core	Wabenkern aus Holz
Non ferrous metal honeycomb core	Wabenkern aus Nichteisenmetall
Precious metal honeycomb core	Wabenkern aus Edelmetall
Bronze honeycomb core	Bronze-Wabenkern
Ferrous metal honeycomb core	Wabenkern aus Eisenmetall
Railway tie untreated	Eisenbahnschwelle unbehandelt
Crib block treated	Krippenblock behandelt
Precast concrete element	Betonfertigteil
Steel framework	Stahlrahmen
Wooden framework	Hölzerner Rahmen
Composite framework	Zusammengesetzter Rahmen
Plate girder	Plattenbalken
Precast haydite element	Vorgefertigtes Haydit-Element
Railway tie	Eisenbahnschwelle
Shovel mat	Schaufelmatte
Wood beams	Holzbalken
Brattice board	Gittertafel
Wood composite beams	Holzverbundbalken
Crib block	Krippenblock
Wood sheathing	Holzummantelung
Wood sheets	Holzplatten
Wood planks	Holzdielen
Wood trusses	Holzdachstühle
Framing lumber	Schnittholz
Wooden poles	Hölzerne Stangen
telephone poles	Telefonmasten
Wood joists	Holzbalken
Steel plate joist	Stahlplattenbalken
Stainless steel braid	Geflecht aus rostfreiem Stahl
Steel fiber	Stahlfaser
Tin fiber	Zinnfaser
Aluminum fiber	Alufaser
Alloy fiber	Legierungsfaser
Headed shafts	Schächte mit Kopf
Portable grandstand	Tragbare Tribüne
Mobile grandstand	Mobile Tribüne
Foldable grandstand	Klappbare Tribüne
Portable kitchen unit	Tragbare Küchenzeile
Site Office	Standort Büro
Portable box office	Tragbare Kasse
Portable toilet	Tragbare Toilette
Framed textile structure	Gerahmte Textilstruktur
Pole tent or tension tent	Stangenzelt oder Spannzelt
Roll roofing	Walzendach
Roof valleys	Dachkehlen
Shakes	Schüttelt
Shingles	Gürtelrose
Rubber support block	Gummi-Stützblock
Slate roofing	Schieferbedachung
Concrete roofing tile	Dachziegel aus Beton
Brick roofing tile	Ziegel-Dachziegel
Roofing membranes	Dachmembranen
Roofing fabrics	Bedachungsgewebe
Flashings	Abdeckungen
Gravel stops	Schotterpausen
Roofing drains	Dachentwässerung
Roofing vents	Dachentlüftung
Soffits	Untersichten
Roof curbs	Dachkanten
Hip and ridge	Hüfte und Grat
Roof fascias	Dachabdeckungen
Drip caps	Tropfkappen
Splashblocks	Splashblocks
Gutters	Dachrinnen
Downspouts	Fallrohre
Brick mould	Backsteinform
Glass curtainwalling	Vorhangfassaden aus Glas
Stucco	Stuck
Siding butt joints	Abstellgleis-Stumpfstöße
Siding	Abstellgleis
Shutters	Fensterläden
Exterior trim material	Material der Außenverkleidung
Canopy	Vordach
Awnings	Markisen
Metal fencing	Metallzäune
Fibrocement fencing	Zäune aus Faserzement
Wood fencing	Holzfechten
Shot steel	Schrotstahl
